# vendors.csv,system exclusive database,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
]Vendor,VendorTable,None,,,,,,,,
,MT-32,MT-32.Chorale,127,0,35,,,,,
,MT-32,MT-32.Glasses,127,0,36,,,,,
,MT-32,MT-32.Soundtrack,127,0,37,,,,,
,MT-32,MT-32.Atmosphere,127,0,38,,,,,
,MT-32,MT-32.Warm Bell,127,0,39,,,,,
,MT-32,MT-32.Funny Vox,127,0,40,,,,,
,MT-32,MT-32.Echo Bell,127,0,41,,,,,
,MT-32,MT-32.Ice Rain,127,0,42,,,,,
,MT-32,MT-32.Oboe 2001,127,0,43,,,,,
,MT-32,MT-32.Echo Pan,127,0,44,,,,,
,MT-32,MT-32.Doctor Solo,127,0,45,,,,,
,MT-32,MT-32.School Daze,127,0,46,,,,,
,MT-32,MT-32.Bellsinger,127,0,47,,,,,
,MT-32,MT-32.Square Wave,127,0,48,,,,,
,MT-32,MT-32.Str Sect 1,127,0,49,,,,,
,MT-32,MT-32.Str Sect 2,127,0,50,,,,,
,MT-32,MT-32.Str Sect 3,127,0,51,,,,,
,MT-32,MT-32.Pizzicato,127,0,52,,,,,
,MT-32,MT-32.Violin 1,127,0,53,,,,,
,MT-32,MT-32.Violin 2,127,0,54,,,,,
,MT-32,MT-32.Cello 1,127,0,55,,,,,
,MT-32,MT-32.Cello 2,127,0,56,,,,,
,MT-32,MT-32.Contrabass,127,0,57,,,,,
,MT-32,MT-32.Harp 1,127,0,58,,,,,
,MT-32,MT-32.Harp 2,127,0,59,,,,,
,MT-32,MT-32.Guitar 1,127,0,60,,,,,
,MT-32,MT-32.Guitar 2,127,0,61,,,,,
,MT-32,MT-32.Elec Gtr 1,127,0,62,,,,,
,MT-32,MT-32.Elect Gtr 2,127,0,63,,,,,
,MT-32,MT-32.Sitar,127,0,64,,,,,
,MT-32,MT-32.Acou Bass 1,127,0,65,,,,,
,MT-32,MT-32.Acou Bass 2,127,0,66,,,,,
,MT-32,MT-32.Elec Bass 1,127,0,67,,,,,
,MT-32,MT-32.Elec Bass 2,127,0,68,,,,,
,MT-32,MT-32.Slap Bass 1,127,0,69,,,,,
,MT-32,MT-32.Slap Bass 2,127,0,70,,,,,
,MT-32,MT-32.Fretless 1,127,0,71,,,,,
,MT-32,MT-32.Fretless 2,127,0,72,,,,,
,MT-32,MT-32.Flute 1,127,0,73,,,,,
,MT-32,MT-32.Flute 2,127,0,74,,,,,
,MT-32,MT-32.Piccolo 1,127,0,75,,,,,
,MT-32,MT-32.Piccolo 2,127,0,76,,,,,
,MT-32,MT-32.Recorder,127,0,77,,,,,
,MT-32,MT-32.Pan Pipes,127,0,78,,,,,
,MT-32,MT-32.Sax 1,127,0,79,,,,,
,MT-32,MT-32.Sax 2,127,0,80,,,,,
,MT-32,MT-32.Sax 3,127,0,81,,,,,
,MT-32,MT-32.Sax 4,127,0,82,,,,,
,MT-32,MT-32.Clarinet 1,127,0,83,,,,,
,MT-32,MT-32.Clarinet 2,127,0,84,,,,,
,MT-32,MT-32.Oboe,127,0,85,,,,,
,MT-32,MT-32.Engl Horn,127,0,86,,,,,
,MT-32,MT-32.Bassoon,127,0,87,,,,,
,MT-32,MT-32.Harmonica,127,0,88,,,,,
,MT-32,MT-32.Trumpet 1,127,0,89,,,,,
,MT-32,MT-32.Trumpet 2,127,0,90,,,,,
,MT-32,MT-32.Trombone 1,127,0,91,,,,,
,MT-32,MT-32.Trombone 2,127,0,92,,,,,
,MT-32,MT-32.Fr Horn 1,127,0,93,,,,,
,MT-32,MT-32.Fr Horn 2,127,0,94,,,,,
,MT-32,MT-32.Tuba,127,0,95,,,,,
,MT-32,MT-32.Brs Sect 1,127,0,96,,,,,
,MT-32,MT-32.Brs Sect 2,127,0,97,,,,,
,MT-32,MT-32.Vibe 1,127,0,98,,,,,
,MT-32,MT-32.Vibe 2,127,0,99,,,,,
,MT-32,MT-32.Syn Mallet,127,0,100,,,,,
,MT-32,MT-32.Windbell,127,0,101,,,,,
,MT-32,MT-32.Glock,127,0,102,,,,,
,MT-32,MT-32.Tube Bell,127,0,103,,,,,
,MT-32,MT-32.Xylophone,127,0,104,,,,,
,MT-32,MT-32.Marimba,127,0,105,,,,,
,MT-32,MT-32.Koto,127,0,106,,,,,
,MT-32,MT-32.Sho,127,0,107,,,,,
,MT-32,MT-32.Shakuhachi,127,0,108,,,,,
,MT-32,MT-32.Whistle 1,127,0,109,,,,,
,MT-32,MT-32.Whistle 2,127,0,110,,,,,
,MT-32,MT-32.Bottleblow,127,0,111,,,,,
,MT-32,MT-32.Breathpipe,127,0,112,,,,,
,MT-32,MT-32.Timpani,127,0,113,,,,,
,MT-32,MT-32.Melodic Tom,127,0,114,,,,,
,MT-32,MT-32.Deep Snare,127,0,115,,,,,
,MT-32,MT-32.Elec Perc 1,127,0,116,,,,,
,MT-32,MT-32.Elec Perc 2,127,0,117,,,,,
,MT-32,MT-32.Taiko,127,0,118,,,,,
,MT-32,MT-32.Taiko Rim,127,0,119,,,,,
,MT-32,MT-32.Cymbal,127,0,120,,,,,
,MT-32,MT-32.Castanets,127,0,121,,,,,
,MT-32,MT-32.Triangle,127,0,122,,,,,
,MT-32,MT-32.Orche Hit,127,0,123,,,,,
,MT-32,MT-32.Telephone,127,0,124,,,,,
,MT-32,MT-32.Bird Tweet,127,0,125,,,,,
